id,text
27,{'José Ramos-Horta is elected as President of East Timor.'}
28,{'Ongoing: COVID-19 pandemic Russian invasion of Ukraine'}
29,{'Recent deaths: Rolando Hinojosa-Smith Umang Gupta Guy Lafleur Nicholas Angelich Mwai Kibaki Renate Holm'}
30,{'Nominate an article'}
31,{'On this day'}
32,{'April 27: Koningsdag in the Netherlands; Administrative Professionals Day in various countries (2022)'}
33,"{""1522 – Four Years' War: The combined forces of Spain and the Papal States defeated a French and Venetian army at the Battle of Bicocca.""}"
34,"{'1777 – American Revolutionary War: British Army regulars defeated Patriot militias in the Battle of Ridgefield, galvanizing resistance in the Connecticut Colony.'}"
35,{'1961 – Prime Minister Milton Margai led the Sierra Leone Colony and Protectorate to independence from the United Kingdom.'}
36,"{'1985 – The black-ball final, one of the most famous snooker matches in history, began between Steve Davis and Dennis Taylor'}"
37,"{'2012 – Unknown perpetrators carried out a series of four bombings in Dnipropetrovsk, Ukraine.'}"
38,{'Ulysses S. Grant (b. 1822)Sheila Scott (b. 1922)Olivier Messiaen (d. 1992)'}
39,{'More anniversaries: April 26 April 27 April 28'}
40,{'Archive By email List of days of the year'}
41,"{""Today's featured picture""}"
42,"{'Seeds are embryonic plants enclosed in protective outer coverings. This collage of forty-two photomicrographs depicts the seeds of various plants, in rows from left to right:'}"
43,"{'Row 1: poppy, red pepper, strawberry, apple, blackberry, rice, caraway'}"
44,"{'Row 2: mustard, eggplant, physalis, grape, raspberry, red rice, patchouli'}"
45,"{'Row 3: fig, matrimony vine, beetroot, blueberry, golden kiwifruit, rose hip, basil'}"
46,"{'Row 4: pink pepper, tomato, radish, carrot, matthiola, dill, coriander'}"
47,"{""Row 5: black pepper, white cabbage, napa cabbage, seabuckthorn, parsley, dandelion, shepherd's purse""}"
48,"{'Row 6: cauliflower, radish, kiwifruit, grenadilla, passion fruit, melissa, African marigold'}"
49,{'Photograph credit: Alexander Klepnev'}
50,{'Recently featured: Warbling white-eye St Lawrence Jewry Balkan cuisine'}
51,{'Archive More featured pictures'}
52,{'Other areas of Wikipedia'}
53,"{'Community portal – The central hub for editors, with resources, links, tasks, and announcements.'}"
54,"{'Village pump – Forum for discussions about Wikipedia itself, including policies and technical issues.'}"
55,{'Site news – Sources of news about Wikipedia and the broader Wikimedia movement.'}
56,{'Teahouse – Ask basic questions about using or editing Wikipedia.'}
57,{'Help desk – Ask questions about using or editing Wikipedia.'}
58,{'Reference desk – Ask research questions about encyclopedic topics.'}
59,{'Content portals – A unique way to navigate the encyclopedia.'}
60,"{""Wikipedia's sister projects""}"
61,"{'Wikipedia is written by volunteer editors and hosted by the Wikimedia Foundation, a non-profit organization that also hosts a range of other volunteer projects:'}"
62,{'Commons'}
63,{'Free media repository'}
64,{'MediaWiki'}
65,{'Wiki software development'}
66,{'Meta-Wiki'}
67,{'Wikimedia project coordination'}
68,{'Wikibooks'}
69,{'Free textbooks and manuals'}
70,{'Wikidata'}
71,{'Free knowledge base'}
72,{'Wikinews'}
73,{'Free-content news'}
74,{'Wikiquote'}
75,{'Collection of quotations'}
76,{'Wikisource'}
77,{'Free-content library'}
78,{'Wikispecies'}
79,{'Directory of species'}
80,{'Wikiversity'}
81,{'Free learning tools'}
82,{'Wikivoyage'}
83,{'Free travel guide'}
84,{'Wiktionary'}
85,{'Dictionary and thesaurus'}
86,{'Wikipedia languages'}
87,{'This Wikipedia is written in English. Many other Wikipedias are available; some of the largest are listed below.'}
88,"{'1,000,000+ articles'}"
89,{'العربية Deutsch Español Français Italiano Nederlands 日本語 Polski Português Русский Svenska Українська Tiếng Việt 中文'}
90,"{'250,000+ articles'}"
91,{'Bahasa Indonesia Bahasa Melayu Bân-lâm-gú Български Català Čeština Dansk Esperanto Euskara فارسی עברית 한국어 Magyar Norsk Bokmål Română Srpski Srpskohrvatski Suomi Türkçe'}
92,"{'50,000+ articles'}"
93,{'Asturianu বাংলা Bosanski Eesti Ελληνικά Simple English Galego Hrvatski Latviešu Lietuvių മലയാളം Македонски Norsk nynorsk Shqip Slovenčina Slovenščina ไทย'}
94,{'Not logged in'}
95,{'Talk'}
96,{'Contributions'}
97,{'Create account'}
98,{'Log in'}
99,{'Main Page'}
100,{'Talk'}
101,{'Read'}
102,{'View source'}
103,{'View history'}
104,{'Search'}
105,{'Main page'}
106,{'Contents'}
107,{'Current events'}
108,{'Random article'}
109,{'About Wikipedia'}
110,{'Contact us'}
111,{'Donate'}
112,{'Contribute'}
113,{'Help'}
114,{'Learn to edit'}
115,{'Community portal'}
116,{'Recent changes'}
117,{'Upload file'}
118,{'Tools'}
119,{'What links here'}
120,{'Related changes'}
121,{'Special pages'}
122,{'Permanent link'}
123,{'Page information'}
124,{'Wikidata item'}
125,{'Print/export'}
126,{'Download as PDF'}
127,{'Printable version'}
128,{'In other projects'}
129,{'Wikimedia Commons'}
130,{'MediaWiki'}
131,{'Meta-Wiki'}
132,{'Multilingual Wikisource'}
133,{'Wikispecies'}
134,{'Wikibooks'}
135,{'Wikidata'}
136,{'Wikimania'}
137,{'Wikinews'}
138,{'Wikiquote'}
139,{'Wikisource'}
140,{'Wikiversity'}
141,{'Wikivoyage'}
142,{'Wiktionary'}
143,{'Languages'}
144,{'العربية'}
145,{'বাংলা'}
146,{'Български'}
147,{'Bosanski'}
148,{'Català'}
149,{'Čeština'}
150,{'Dansk'}
151,{'Deutsch'}
152,{'Eesti'}
153,{'Ελληνικά'}
154,{'Español'}
155,{'Esperanto'}
156,{'Euskara'}
157,{'فارسی'}
158,{'Français'}
159,{'Galego'}
160,{'한국어'}
161,{'Hrvatski'}
162,{'Bahasa Indonesia'}
163,{'Italiano'}
164,{'עברית'}
165,{'ქართული'}
166,{'Latviešu'}
167,{'Lietuvių'}
168,{'Magyar'}
169,{'Македонски'}
170,{'Bahasa Melayu'}
171,{'Nederlands'}
172,{'日本語'}
173,{'Norsk bokmål'}
174,{'Norsk nynorsk'}
175,{'Polski'}
176,{'Português'}
177,{'Română'}
178,{'Русский'}
179,{'Simple English'}
180,{'Slovenčina'}
181,{'Slovenščina'}
182,{'Српски / srpski'}
183,{'Srpskohrvatski / српскохрватски'}
184,{'Suomi'}
185,{'Svenska'}
186,{'ไทย'}
187,{'Türkçe'}
188,{'Українська'}
189,{'Tiếng Việt'}
190,{'中文'}
191,"{'Text is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. By using this site, you agree to the Terms of Use and Privacy Policy. Wikipedia® is a registered trademark of the Wikimedia Foundation, Inc., a non-profit organization.'}"
192,{'Privacy policy'}
193,{'About Wikipedia'}
194,{'Disclaimers'}
195,{'Contact Wikipedia'}
196,{'Mobile view'}
197,{'Developers'}
198,{'Statistics'}
199,{'Cookie statement'}
